"id","Codigo","title","country","state","city","address","numero","zipcode","phone","phone2","whatsapp","fax","email","email2","latitude","longitude","tratores","implementos"
"2","476","2-K TRATORES E MAQUINAS AGRICS. LTDA","Brasil","SP","Barretos","Av. Eng. Necker C.camargo","1.541","14783-080","(17) 3322-3175",,,"(17) 3322-3929","doisktratores@gmail.com",,"-20.56967970","-48.57574640","0","1"
"3","480","TRATORMAQ COML. E REPRESENTAÇÃO LTDA","Brasil","AP","Macapá","Rodovia Br 156 - Jardim Felicidade",,"68909-130","(96) 3251-1017",,,"(96) 3251-1321","tratormak@tratormak.com.br",,"-51.20259520","-30.13073500","1","0"
"4","481","C. DE SOUZA VOLANTE - ME","Brasil","AP","Macapá","Av. Avenida Mendonça Junior","253","68900-000","(96) 3242-4959",,,,"paranacs@uol.com.br",,"-51.05133980","0.07009930","0","0"
"5","483","ARAUJO ANTUNES & FILHOS","Brasil","AM","Itacoatiara","Rua Adamastor De Figueired - Centro","2225","69100-000","(92) 3521-1470",,,"(92) 3521-1788","araujoantunes@proamazon.com.br",,"-3.13321910","-58.43611500","0","1"
"6","484","MOTONORTE MOTS M DO NORTE LTDA","Brasil","AM","Manaus","Rua Miranda Leao - Centro","411","69005-040","(92) 3622-4522",,,"(92) 3622-1349","motonorte@motonorte.com.br",,"-3.13941450","-60.02151280","1","0"
"7","485","JÔ PNEUS LTDA","Brasil","AM","Manaus","Av. Tefe Cachoeirinha","453","69065-020","(92) 3303-3777",,,"(92) 3663.-1030","jopneusmanaus@hotmail.com",,"-3.12455750","-60.00479610","1","1"
"8","486","SOTEMAQ SOCIEDADE TÉCNICA DE MÁQUINAS LTDA","Brasil","AM","Manaus","Rua Miranda Leão - Centro","535","69005-040","(92) 3233-8550",,,"(92) 3233-6742","sotemaq@yahoo.com.br",,"-3.13941450","-60.02151280","1","1"
"9","487","MAQUIPEL COMERCIO DE MAQS. E PEÇAS LTDA","Brasil","AM","Manaus","Rua Leovegildo Coelho - Centro","316","69005-090","(92) 3633-6760",,,"(92) 3633-1404","maquipel@uol.com.br",,"-3.13863800","-60.02154470","0","0"
"10","488","M. E. DO ROSARIO JR. REPRESENTACOES","Brasil","AM","Parintins","Rua Ruy Barbosa","1968-B","69151-260","(92) 3533.1304",,,"(92) 3533.1304","lojasantoantonio@jurupari.com.br",,"-2.62420340","-56.73461600","0","0"
"11","489","PULVETEC MAQUINAS AGRICOLAS LTDA. (02 BA)","Brasil","BA","Bonito","Avenida Antonio Carlos Magalhaes","918","46820-000","(75) 3343-2182",,,"(75) 3343-2182","pulvetec@uol.com.br",,"-11.96720600","-41.26507270","0","0"
"12","490","GRAND RURAL LTDA - EPP","Brasil","BA","Eunápolis","Tupiniquins – Pequi","1397","45828-102","(73) 3281-7929",,"73 - 99931-9609",,"grandrural@grandrural.com.br","tiagosantana@grandrural.com.br","-16.37188000","-39.56847000","0","0"
"13","491","CASA DO JAPONÊS MAQUINAS E PEÇAS LTDA","Brasil","BA","Itabuna","Av. Inácio Tosta Filho - Centro","797","45600-201","(73) 3613-3931",,,"(73) 3613-3371","vendas@casadojapones.com.br",,"-14.78803270","-39.27841780","0","0"
"14","492","BAMAGRIL-BARCELLOS MAQUINAS AGRÍCOLAS BAHIA LTDA","Brasil","BA","Luis Eduardo Magalhães","Av. Jk Quadra 07, Caixa Postal: 924 - Centro","Lotes 01, 02 e 03","47850-000","(77) 3628-3330",,,"(77) 3628-3409","bamagril@uol.com.br",,"-12.09045420","-45.78053750","0","0"
"15","493","GRAND RURAL LTDA – EPP MATRIZ ","Brasil","BA","Teixeira De Freitas","Rod. Br 101 - Bairro Monte Castelo","1480","45990-012","(73) 3292-6950",,"73 - 99931-9609",,"grandrural@grandrural.com.br","tiagosantana@grandrural.com.br","-17.53429150","-39.71230270","0","0"
"16","495","TERRAQUA COMERCIO E SERVICOS DE EQUIPAMENTOS AGRICOLAS LTDA","Brasil","CE","Maracanau","Rod Dr. Mendel Steinbruch",,"61939-906","(85) 3388-4545","(85) 3388-4504",,,"gerencia@terraqua.com.br",,"-3.85067500","-38.59464400","0","0"
"17","496","A MORENO INDUSTRIA E COMERCIO LTDA","Brasil","CE","Iguatu","Rua Deocleciano Bezerra","779","60850-000","(85) 3444-2500",,,"(85) 3444-2500","gerencia@amoreno.com.br",,"-6.35567800","-39.29565000","0","0"
"18","497","FORTEAGRO PRODUTOS AGROPECUÁRIOS","Brasil","CE","Guaraciaba Do Norte","Rua Cel. João Cícero - Centro","340","62380-000","(88) 3652-2170",,,,"forteagroltda@gmail.com",,"-4.16325660","-40.75040290","0","0"
"19","498","A MORENO INDUSTRIA E COMERCIO LTDA","Brasil","CE","Iguatu","Rua Deocleciano Bezerra","779","63500-000","(88) 3581-1003",,,"(88) 3581-2580","goncalves.oliveira@amoreno.com.br",,"-6.35567800","-39.29565000","0","0"
"20","499","JOÃO RIBEIRO LIMA & CIA. LTDA","Brasil","CE","Ubajara","Rua 31 De Dezembro - Centro","325","62350-000","(88) 3634-1381",,,"(88) 3634-1381","casadavariedade@bol.com.br",,"-3.85485820","-40.92080160","0","0"
"21","500","HANASHIRO MAQUINAS AGRICOLAS LTDA","Brasil","DF","Brasília","Sia/sul Quadra 5c","221","71200-055","(61) 3233-3440",,,"(61) 3233-3060","hanashiro@hanashiro.com.br",,"-15.82179690","-47.92342180","0","0"
"22","502","COMERCIAL SCARDUA","Brasil","ES","Serra","Rodovia Governador Mario Covas","4251","29620-000","(27) 3720-4500",,"(27) 9 9720-3423","(27) 3720-4501","comercial@comercialscardua.com.br",,"-19.87262300","-40.87526580","0","0"
"23","504","A TRATOR DIESEL","Brasil","GO","Goiânia","Av. Bandeirantes - Bairro Ipiranga","300 Qd. 85 Lt 6e","74453-040","(62) 3086-7200","(62) 99186-0137",,,"falecom@atratordiesel.com.br",,"-16.66038350","-49.32842680","0","0"
"24","509","L. LUCENA COM. DE PÇAS E MOTORES","Brasil","MA","Gov. Nunes Freitas","Rua Do Comercio","2011","65284-000","(98) 3371-1126",,,"(98) 3371-1126","compemol@hotmail.com",,"-2.12935540","-45.87808410","0","0"
"25","510","M. VENI ARAÚJO TEIXEIRA","Brasil","MA","Nunes Freire","Rua Do Comércio – Centro","2003","65284-000","(98) 3371-1226",,,"(98) 3371-1226","compemol@hotmail.com",,"-2.12935540","-45.87808410","0","0"
"26","511","AGRORIO MÁQUINAS AGRÍCOLAS LTDA","Brasil","MT","Água Boa","Rua 10, Caixa Postal 151 - Setor Industrial","171","78635-000","(66) 3468-3470",,,"(66) 3468-3881","riama.implementos@riama.com.br","rafaelvendas@gmail.com","-14.04748900","-52.15938340","0","0"
"27","512","REGIONAL TRATORES LTDA","Brasil","MT","Canarana","Rua Tenente Portela - Centro","445","78640-000","(66) 3478-2187",,,"(66) 3478-1231","regionaltratoresltda@uol.com.br",,"-13.55647390","-52.26911230","0","0"
"28","513","CARPAU PRODUTOS AGROPECUÁRIOS LTDA. - ME","Brasil","MT","Peixoto De Azevedo","Rua Lauro Leite","82","78530-000","(66) 3575-1818",,,"(66) 3595-1818","carpaupeixoto@hotmail.com",,"-10.24469130","-54.98872180","0","0"
"29","514","BRANCHER MOTORES E MÁQUINAS LTDA","Brasil","MT","Pontes Lacerda","Av. Marechal Rondon - Centro","1351","78250-000","(65) 3266-1320",,,"(65) 3266-2509","branchermotores@terra.com.br",,"-15.23322710","-59.32824500","0","0"
"30","515","GP COMÉRCIO DE FILTROS E LUBRIFICANTES LTDA","Brasil","MT","Rondonopolis","A. Fernando Correa Da Costa - Vila Birigui","1987","78705-600","(66) 3426-7222",,,"(66) 3426-6269","promaxsupertroca@terra.com.br",,"-16.46547570","-54.63872290","0","0"
"31","516","SERTÃO COMERCIAL DE EQUIPAMENTOS AGRÍCOLAS LTDA","Brasil","MS","Campo Grande","Rua 13 De Maio - Santa Dorotheia","557","79004-423","(67) 3317-5010",,,"(67) 3317-5001","daniela@sertao.com.br",,"-20.46971050","-54.62012110","0","0"
"32","517","VALTER FERNANDES DE LIMA - ME","Brasil","MS","Dourados","Rua Hayel Bom Faker","1470","79810-100","(67) 3421-1947",,,"(67) 3421-1947","motocarddos@yahoo.com.br",,"-22.18152490","-54.67312880","0","0"
"33","520","AGROPECUARIA UBA LTDA. (LIDER MAQ.)","Brasil","MG","Barbacena","Av. Governador Bias Fortes - Pontilhão","1639","36500-000","(32) 3333-6688",,,"(32) 3333-6688","lidermaq@yahoo.com.br",,"-21.22154400","-43.76998000","0","0"
"34","521","GEMAPE MÁQUINAS E PEÇAS LTDA","Brasil","MG","Belo Horizonte","Av. Cristiano Machado","7220","31810-280","(31) 3029-4666",,,"(31) 3029-4651","gemape@gemape.com.br",,"-19.86130020","-43.92877490","0","0"
"35","522","ALVORADA TRATORES","Brasil","MG","Boa Esperança","Rodovia Br 265, A 300 M Do Trevo Capebe – Zona Rural - Caixa Postal: 10",,"37170-000","(35) 3851-1140",,,"(35) 3851-1851","alvoradatratoresvendas@hotmail.com",,"-21.09282520","-45.56296030","0","0"
"36","523","TRES VALES AGROPECUARIA LTDA","Brasil","MG","Capelinha","Rua Rio Branco - Planalto","1213","39680-000","(33) 3516-1467",,,"(33) 3516-1948","tresvale@uai.com.br",,"-17.69299450","-42.51721070","0","0"
"37","524","NUTRICAMPO LTDA","Brasil","MG","Igarapé","Av. Bernardino Da Silva Couto - Centro","1700","32900-000","(31) 3534-1275",,,"(31) 3534-1275","vendas@nutricampo.com.br","nutricampo@nutricampo.com.br","-20.07115210","-44.29986550","0","0"
"38","526","DALMEI COMERCIO REPRESENTAÇÕES LTDA","Brasil","MT","Sorriso","Av. Perimetral Sudeste","11287","78890-000","(66) 3544-1658",,,"(66) 3544-1658","dalmeisorriso@bol.com.br",,"-12.54294560","-55.72153670","0","0"
"39","527","CASA DA LAVOURA LTDA","Brasil","MT","Várzea Grande","Av. Da Feb","2220","78110-000","(65) 3682-5051",,,"(65) 3682-1833","lavoura@agromt.com.br",,"-15.65228700","-56.15709000","0","0"
"40","528","GILDA DA CUNHA GUEDES VILELA – ME","Brasil","MG","Ouro Fino","Rua Olimpio Garcia Dos Santos – Centro","85","37570-000","(35) 3441-5320",,,,"jamaquinasof@yahoo.com.br",,"-22.27853730","-46.37121290","0","0"
